0		read	0	8	16	8	
151954776		read	0	54	9	8192	4,580,50538565,-;------------[ cut here ]------------\n
152005162		read	0	86	9	8192	4,581,50538568,-;WARNING: CPU: 11 PID: 1 at lib/vsprintf.c:2738 vsnprintf+0x4ad/0x550\n
152028761		read	0	829	9	8192	4,582,50538573,-;Modules linked in: rfkill intel_rapl_msr intel_rapl_common intel_pmc_core crc32_pclmul ghash_clmulni_intel sha512_ssse3 qrtr sha512_generic snd_intel8x0 sha256_ssse3 sha1_ssse3 snd_ac97_codec ac97_bus snd_pcm snd_timer video aesni_intel snd crypto_simd cryptd evdev pcspkr vboxguest soundcore button rapl wmi ac joydev serio_raw sg msr parport_pc ppdev lp binfmt_misc parport dm_mod configfs loop fuse efi_pstore ip_tables x_tables autofs4 ext4 crc16 mbcache jbd2 crc32c_generic sd_mod t10_pi crc64_rocksoft hid_generic crc64 crc_t10dif usbhid sr_mod crct10dif_generic hid cdrom vmwgfx drm_ttm_helper ahci ata_generic ohci_pci ttm ata_piix libahci drm_kms_helper ohci_hcd ehci_pci crct10dif_pclmul libata crct10dif_common ehci_hcd usbcore psmouse crc32c_intel drm scsi_mod e1000 usb_common i2c_piix4 scsi_common\n
168809727		read	0	74	9	8192	4,583,50538610,-;CPU: 11 PID: 1 Comm: systemd Not tainted 6.2.0-sclda #1 \n
168844567		read	0	95	9	8192	4,584,50538611,-;Hardware name: innotek GmbH VirtualBox/VirtualBox, BIOS VirtualBox 12/01/2006\n
168851647		read	0	49	9	8192	4,585,50538612,-;RIP: 0010:vsnprintf+0x4ad/0x550\n
168857837		read	0	217	9	8192	4,586,50538614,-;Code: ff 48 8b 45 08 48 8d 50 08 48 89 55 08 e9 1c fe ff ff 83 fa 2f 76 62 48 8b 45 08 48 8d 50 08 48 89 55 08 8b 10 e9 07 fe ff ff <0f> 0b e9 94 fc ff ff 41 0f b6 55 00 49 89 c7 4c 89 eb e9 59 fd ff\n
168865518		read	0	61	9	8192	4,587,50538615,-;RSP: 0018:ffffa800c0013ca8 EFLAGS: 00010296\n
168873031		read	0	83	9	8192	4,588,50538616,-;RAX: 0000000000000000 RBX: ffffa800c0013db8 RCX: ffffa800c0013d00\n
